Site,Sample_ID,Date,Species,Pollen,Sample_no,Who,Buffer,Date,Epoch,RNA,NFW,Date,Target_RNA,DF
Goe1392,Goe1392S4,7.22,Seladonia tumulorum,yes,4,C,200,23.5.23,151.692,5.27,4.73,6.9.23,800,10
Goe1392,Goe1392S5,7.22,Andrena flavipes,no,5,C,300,4.9.23,242.039,3.31,6.69,6.9.23,800,10
Goe1392,Goe1392S6,7.22,Andrena flavipes,yes,6,C,500,4.9.23,495.875,1.61,8.39,6.9.23,800,10
Goe1392,Goe1392S7,7.22,Bombus sylvarum,no,7,C,500,4.9.23,459.004,1.74,8.26,6.9.23,800,10
Goe1392,Goe1392S8,7.22,Colletes similis,no,8,C,200,4.9.23,239.681,3.34,6.66,6.9.23,800,10
Goe1392,Goe1392S9,7.22,Andrena wilkella,yes,9,C,200,4.9.23,358.442,2.23,7.77,6.9.23,800,10
Goe1392,Goe1392S10,7.22,Colletes similis,no,10,C,200,4.9.23,212.291,3.77,6.23,6.9.23,800,10
Goe1392,Goe1392S11,7.22,Andrena minutula,no,11,C,150,5.10.23,43.875,3.65,6.35,6.10.23,160,2
Goe1392,Goe1392S12,7.22,Lasioglossum pauxillum,yes,12,C,150,5.10.23,37.119,4.31,5.69,6.10.23,160,2
Goe1392,Goe1392S13,7.22,,no,13,C,150,5.10.23,31.001,5.16,4.84,6.10.23,160,2
Goe1392,Goe1392S14,7.22,Lasioglossum pauxillum,no,14,C,150,5.10.23,43.227,3.70,6.30,6.10.23,160,2
Goe1425,Goe1425S1,7.22,Lasioglossum malachurum,no,1,C,200,4.9.23,189.505,4.22,5.78,6.9.23,800,10
Goe1425,Goe1425S2,7.22,Andrena ovatula,no,2,C,200,4.9.23,312.323,2.56,7.44,6.9.23,800,10
Goe1425,Goe1425S3,7.22,Andrena dorsata,yes,3,C,300,4.9.23,661.627,1.21,8.79,6.9.23,800,10
Goe1425,Goe1425S4,7.22,Lindenius albilabris,no,4,C,150,4.9.23,279.456,2.86,7.14,6.9.23,800,10
Goe1425,Goe1425S5,7.22,Andrena minutula,yes,5,C,150,4.9.23,275.95,2.90,7.10,6.9.23,800,10
Goe1425,Goe1425S6,7.22,Andrena limata,yes,6,C,300,4.9.23,948.9,0.84,9.16,6.9.23,800,10
Goe1425,Goe1425S7,7.22,Lasioglossum calceatum,yes,7,C,200,4.9.23,16.214,9.87,0.13,6.9.23,160,2
Goe1425,Goe1425S8,7.22,Andrena flavipes,no,8,C,300,4.9.23,157.505,5.08,4.92,6.9.23,800,10
Goe1425,Goe1425S9,7.22,Andrena flavipes,yes,9,C,300,4.9.23,443.791,1.80,8.20,6.9.23,800,10
Goe1425,Goe1425S10,7.22,Lasioglossum malachurum,no,10,C,150,4.9.23,76.926,5.20,4.80,6.9.23,400,5
Goe1425,Goe1425S11,7.22,,no,11,C,150,5.10.23,29.761,5.38,4.62,6.10.23,160,2
Goe184,Goe184S1,7.22,Andrena flavipes,no,1,C,300,4.9.23,615.501,1.30,8.70,6.9.23,800,10
Goe184,Goe184S2,7.22,Andrena ovatula,yes,2,C,200,4.9.23,593.562,1.35,8.65,6.9.23,800,10
Goe184,Goe184S3,7.22,Andrena dorsata,yes,3,C,200,4.9.23,511.215,1.56,8.44,6.9.23,800,10
Goe184,Goe184S4,7.22,Andrena wilkella,yes,4,C,300,4.9.23,633.524,1.26,8.74,6.9.23,800,10
Goe184,Goe184S5,7.22,Andrena dorsata,yes,5,C,200,4.9.23,504.736,1.58,8.42,6.9.23,800,10
Goe184,Goe184S6,7.22,Andrena wilkella,no,6,C,300,4.9.23,541.297,1.48,8.52,6.9.23,800,10
Goe184,Goe184S7,7.22,Lasioglossum calceatum,no,7,C,200,4.9.23,154.023,5.19,4.81,6.9.23,800,10
Goe184,Goe184S8,7.22,Lasioglossum calceatum,no,8,C,200,4.9.23,200.423,3.99,6.01,6.9.23,800,10
Goe184,Goe184S9,7.22,Andrena flavipes,yes,9,C,300,4.9.23,859.507,0.93,9.07,6.9.23,800,10
Goe184,Goe184S10,7.22,Andrena wilkella,yes,10,C,300,4.9.23,634.373,1.26,8.74,6.9.23,800,10
Goe184,Goe184S11,7.22,Andrena flavipes,no,11,C,500,5.10.23,701.89,1.14,8.86,6.10.23,800,10
Goe184,Goe184S12,7.22,Andrena flavipes,no,12,C,500,5.10.23,714.675,1.12,8.88,6.10.23,800,10
Goe189,Goe189S1,7.22,Lasioglossum pauxillum,no,1,C,150,4.9.23,77.495,5.16,4.84,6.9.23,400,5
Goe189,Goe189S2,7.22,Lasioglossum pauxillum,no,2,C,150,4.9.23,65.589,3.66,6.34,6.9.23,240,3
Goe189,Goe189S3,7.22,Lasioglossum pauxillum,no,3,C,150,4.9.23,53.875,4.45,5.55,6.9.23,240,3
